"AnnoA","CorsoTIPO","ClasseNUMERO","ClasseNOME","DiplomaTipo","Sesso","nImm"
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Altro diploma","M",105
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Diploma di istruzione professionale","M",74
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Diploma di istruzione tecnica","M",316
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Liceo artistico","M",7
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Liceo classico","M",171
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Liceo delle scienze umane","M",53
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Liceo linguistico","M",37
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Liceo musicale e coreutico","M",1
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Liceo scientifico","M",1173
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Altro diploma","F",283
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Diploma di istruzione professionale","F",190
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Diploma di istruzione tecnica","F",420
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo artistico","F",287
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo classico","F",305
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo delle scienze umane","F",337
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo linguistico","F",608
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo musicale e coreutico","F",44
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo scientifico","F",284
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Altro diploma","M",285
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Diploma di istruzione professionale","M",135
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Diploma di istruzione tecnica","M",325
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo artistico","M",75
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo classico","M",108
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo delle scienze umane","M",116
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo linguistico","M",140
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo musicale e coreutico","M",5
"2023/2024","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo scientifico","M",264
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Altro diploma","F",205
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Diploma di istruzione professionale","F",83
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Diploma di istruzione tecnica","F",307
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Liceo artistico","F",289
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Liceo classico","F",240
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Liceo delle scienze umane","F",121
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Liceo linguistico","F",238
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Liceo musicale e coreutico","F",2
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Liceo scientifico","F",649
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Altro diploma","M",91
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Diploma di istruzione professionale","M",24
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Diploma di istruzione tecnica","M",296
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Liceo artistico","M",131
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Liceo classico","M",55
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Liceo delle scienze umane","M",28
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Liceo linguistico","M",44
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Liceo musicale e coreutico","M",1
"2023/2024","Laurea - dm 270/04","L-04","Disegno industriale","Liceo scientifico","M",389
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Altro diploma","F",75
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Diploma di istruzione professionale","F",76
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Diploma di istruzione tecnica","F",195
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Liceo artistico","F",155
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Liceo classico","F",563
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Liceo delle scienze umane","F",564
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Liceo linguistico","F",348
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Liceo musicale e coreutico","F",10
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Liceo scientifico","F",453
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Altro diploma","M",67
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Diploma di istruzione professionale","M",83
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Diploma di istruzione tecnica","M",227
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Liceo artistico","M",49
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Liceo classico","M",376
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Liceo delle scienze umane","M",201
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Liceo linguistico","M",120
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Liceo musicale e coreutico","M",11
"2023/2024","Laurea - dm 270/04","L-05","Filosofia","Liceo scientifico","M",641
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Altro diploma","F",5
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Diploma di istruzione professionale","F",6
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Diploma di istruzione tecnica","F",15
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Liceo artistico","F",2
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Liceo classico","F",1
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Liceo delle scienze umane","F",8
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Liceo linguistico","F",4
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Liceo scientifico","F",3
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Altro diploma","M",3
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Diploma di istruzione professionale","M",6
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Diploma di istruzione tecnica","M",24
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Liceo artistico","M",4
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Liceo classico","M",2
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Liceo delle scienze umane","M",7
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Liceo linguistico","M",8
"2023/2024","Laurea - dm 270/04","L-06","Geografia","Liceo scientifico","M",11
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Altro diploma","F",168
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Diploma di istruzione professionale","F",37
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Diploma di istruzione tecnica","F",321
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo artistico","F",48
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo classico","F",106
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo delle scienze umane","F",56
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo linguistico","F",91
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo musicale e coreutico","F",1
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo scientifico","F",572
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Altro diploma","M",377
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Diploma di istruzione professionale","M",102
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Diploma di istruzione tecnica","M",1183
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo artistico","M",25
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo classico","M",59
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo delle scienze umane","M",30
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo linguistico","M",34
"2023/2024","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo scientifico","M",1086
